value_text,label,value_date,count(*)
Portugal,del:618,NULL,42
Portugal,del:7-15,NULL,2
Slovakia,del:11-15,NULL,2
Slovakia,del:133100-133102,NULL,2
Slovakia,del:133101-133102,NULL,2
Slovakia,del:133102,NULL,2
Slovakia,del:133109-133113,NULL,2
Slovakia,del:133110-133113,NULL,2
Slovakia,del:133111-133113,NULL,2
Slovakia,del:133112-133113,NULL,2
Slovakia,del:133117-133122,NULL,2
Slovakia,del:133118-133122,NULL,2
Slovakia,del:133119-133122,NULL,2
Slovakia,del:133120-133122,NULL,2
Slovakia,del:133177-133186,NULL,22
Slovakia,del:133188-133197,NULL,22
Slovakia,del:164529-164549,NULL,2
Slovakia,del:164536-164556,NULL,2
Slovakia,del:164547-164567,NULL,2
Slovakia,del:173286-173357,NULL,14
Slovakia,del:173286-173359,NULL,2
Slovakia,del:173286-173363,NULL,2
Slovakia,del:173286-173365,NULL,2
Slovakia,del:173286-173369,NULL,2
Slovakia,del:173303-173314,NULL,2
Slovakia,del:173307-173314,NULL,2
Slovakia,del:173309-173314,NULL,2
Slovakia,del:173310-173317,NULL,2
Slovakia,del:173313-173314,NULL,2
Slovakia,del:173314-173317,NULL,2
Slovakia,del:173316-173317,NULL,2
Slovakia,del:179142-179222,NULL,22
Slovakia,del:179145-179243,NULL,22
Slovakia,del:179232-179258,NULL,22
Slovakia,del:196593,NULL,22
Slovakia,del:196614-196617,NULL,22
Slovakia,del:196629-196630,NULL,22
Slovakia,del:197192-197205,NULL,22
Slovakia,del:197228-197232,NULL,18
Slovakia,del:197229-197233,NULL,4
Slovakia,del:2-15,NULL,20
Slovakia,del:3-7,NULL,20
Slovakia,del:402-403,NULL,6
Slovakia,del:404-405,NULL,6
Slovakia,del:406-407,NULL,6
Slovakia,del:408,NULL,6
Slovakia,del:606-609,NULL,22
Slovakia,del:617-618,NULL,22
Slovakia,del:626,NULL,22
Slovakia,del:7-20,NULL,2
United Kingdom,del:1,NULL,6
United Kingdom,del:1-11,NULL,20
United Kingdom,del:1-12,NULL,4
United Kingdom,del:1-13,NULL,12
United Kingdom,del:1-15,NULL,2
United Kingdom,del:1-20,NULL,20
United Kingdom,del:1-6,NULL,2
United Kingdom,del:1-7,NULL,6
United Kingdom,del:1-8,NULL,2
United Kingdom,del:11-15,NULL,2
United Kingdom,del:133098-133103,NULL,10
United Kingdom,del:133107-133114,NULL,10
United Kingdom,del:133112-133113,NULL,2
United Kingdom,del:133115-133123,NULL,10
United Kingdom,del:133120-133122,NULL,2
United Kingdom,del:133171,NULL,2
United Kingdom,del:133177-133186,NULL,362
United Kingdom,del:133182,NULL,2
United Kingdom,del:133188-133197,NULL,362
United Kingdom,del:136543-136554,NULL,2
United Kingdom,del:136552-136554,NULL,10
United Kingdom,del:136553-136564,NULL,2
United Kingdom,del:136554-136565,NULL,2
United Kingdom,del:136562-136564,NULL,10
United Kingdom,del:136563-136565,NULL,10
United Kingdom,del:148529-148535,NULL,4
United Kingdom,del:148539-148545,NULL,4
United Kingdom,del:148540-148546,NULL,4
United Kingdom,del:149394,NULL,2
United Kingdom,del:149404,NULL,2
United Kingdom,del:149405,NULL,2
United Kingdom,del:150586-150602,NULL,368
United Kingdom,del:150597-150613,NULL,368
United Kingdom,del:16620-16622,NULL,2
United Kingdom,del:16629-16631,NULL,2
United Kingdom,del:16637-16639,NULL,2
United Kingdom,del:173286-173355,NULL,12
United Kingdom,del:173286-173357,NULL,340
United Kingdom,del:173287-173358,NULL,2
United Kingdom,del:173289-173360,NULL,2
United Kingdom,del:173292-173363,NULL,4
United Kingdom,del:173293-173364,NULL,6
United Kingdom,del:173336-173407,NULL,2
United Kingdom,del:173515-173517,NULL,2
United Kingdom,del:173518-173520,NULL,2
United Kingdom,del:173605-173607,NULL,2
United Kingdom,del:179187-179222,NULL,10
United Kingdom,del:179190-179243,NULL,10
United Kingdom,del:179226-179243,NULL,356
United Kingdom,del:179232-179249,NULL,2
United Kingdom,del:181232,NULL,2
United Kingdom,del:181253,NULL,2
United Kingdom,del:181268,NULL,2
United Kingdom,del:184054-184055,NULL,2
United Kingdom,del:184075-184076,NULL,2
United Kingdom,del:184090-184091,NULL,2
United Kingdom,del:196593,NULL,14
United Kingdom,del:196614-196617,NULL,14
United Kingdom,del:196615-196617,NULL,324
United Kingdom,del:196616-196617,NULL,28
United Kingdom,del:196629-196630,NULL,14
United Kingdom,del:196630,NULL,324
United Kingdom,del:197185-197205,NULL,2
United Kingdom,del:197186-197205,NULL,20
United Kingdom,del:197191-197205,NULL,2
United Kingdom,del:197192-197205,NULL,12
United Kingdom,del:197193-197205,NULL,12
United Kingdom,del:197194-197205,NULL,4
United Kingdom,del:197198-197205,NULL,2
United Kingdom,del:197199-197205,NULL,6
United Kingdom,del:197203-197205,NULL,2
United Kingdom,del:197205,NULL,6
United Kingdom,del:197209,NULL,2
United Kingdom,del:197222-197233,NULL,2
United Kingdom,del:197223-197233,NULL,20
United Kingdom,del:197224-197227,NULL,12
United Kingdom,del:197228-197229,NULL,4
United Kingdom,del:197228-197232,NULL,12
United Kingdom,del:197228-197233,NULL,2
United Kingdom,del:197233,NULL,4
United Kingdom,del:2-15,NULL,10
United Kingdom,del:2-4,NULL,2
United Kingdom,del:20680,NULL,2
United Kingdom,del:20689,NULL,2
United Kingdom,del:20697,NULL,2
United Kingdom,del:3-14,NULL,2
United Kingdom,del:3-7,NULL,10
United Kingdom,del:33222-33235,NULL,2
United Kingdom,del:33231-33244,NULL,2
United Kingdom,del:33239-33252,NULL,2
United Kingdom,del:4,NULL,6
United Kingdom,del:5-6,NULL,4
United Kingdom,del:6-26,NULL,2
United Kingdom,del:606-609,NULL,14
United Kingdom,del:607-609,NULL,326
United Kingdom,del:608-609,NULL,28
United Kingdom,del:617-618,NULL,14
United Kingdom,del:618,NULL,326
United Kingdom,del:626,NULL,14
United Kingdom,del:7-20,NULL,2
United Kingdom,del:8-11,NULL,12
USA,del:1-107,NULL,1
USA,del:1-11,NULL,192
USA,del:1-12,NULL,6
USA,del:1-15,NULL,2
USA,del:1-16,NULL,3
USA,del:1-19,NULL,1
USA,del:1-20,NULL,192
USA,del:1-25,NULL,3
USA,del:1-28,NULL,2
USA,del:1-3,NULL,1
USA,del:1-37,NULL,1
USA,del:1-45,NULL,1
USA,del:1-49,NULL,17
USA,del:1-5,NULL,6
USA,del:1-56,NULL,1
USA,del:1-6,NULL,10
USA,del:1-60,NULL,17
USA,del:1-65,NULL,1
USA,del:1-69,NULL,17
USA,del:1-9,NULL,1
USA,del:11751,NULL,2
USA,del:11760,NULL,2
USA,del:11768,NULL,2
USA,del:133086-133087,NULL,1
USA,del:133094-133096,NULL,1
USA,del:133098-133102,NULL,1
USA,del:133101-133102,NULL,2
USA,del:133102,NULL,12
USA,del:133107-133113,NULL,1
USA,del:133110-133113,NULL,2
USA,del:133111-133113,NULL,12
USA,del:133112-133113,NULL,160
USA,del:133113,NULL,24
USA,del:133113-133114,NULL,3
USA,del:133114-133115,NULL,4
USA,del:133115-133116,NULL,2
USA,del:133115-133122,NULL,1
USA,del:133116-133117,NULL,2
USA,del:133118-133119,NULL,1
USA,del:133118-133122,NULL,2
USA,del:133119-133122,NULL,12
USA,del:133120-133122,NULL,160
USA,del:133121-133122,NULL,24
USA,del:133121-133123,NULL,3
USA,del:133122,NULL,36
USA,del:133122-133123,NULL,7
USA,del:133122-133124,NULL,4
USA,del:133123,NULL,1
USA,del:133123-133125,NULL,2
USA,del:133124-133126,NULL,2
USA,del:133126-133128,NULL,1
USA,del:133130-133132,NULL,7
USA,del:133165-133173,NULL,1
USA,del:133176-133184,NULL,1
USA,del:133177-133186,NULL,409
USA,del:133188-133197,NULL,409
USA,del:136543-136554,NULL,1
USA,del:136546-136554,NULL,2
USA,del:136549-136554,NULL,2
USA,del:136552-136554,NULL,16
USA,del:136553-136564,NULL,1
USA,del:136554-136565,NULL,1
USA,del:136555,NULL,1
USA,del:136556-136564,NULL,2
USA,del:136557-136565,NULL,2
USA,del:136559-136564,NULL,2
USA,del:136560-136565,NULL,2
USA,del:136562-136564,NULL,16
USA,del:136563-136565,NULL,16
USA,del:136565,NULL,1
USA,del:136566,NULL,1
USA,del:148529-148535,NULL,3
USA,del:148539-148545,NULL,3
USA,del:148540-148546,NULL,3
USA,del:150560-150568,NULL,2
USA,del:150571-150579,NULL,2
USA,del:150586-150602,NULL,374
USA,del:150597-150613,NULL,374
USA,del:16,NULL,84
USA,del:161581,NULL,1
USA,del:161588,NULL,1
USA,del:161599,NULL,1
USA,del:166103-166109,NULL,3
USA,del:166110-166116,NULL,3
USA,del:166121-166127,NULL,3
USA,del:168955,NULL,1
USA,del:168962,NULL,1
USA,del:168973,NULL,1
USA,del:169756-169767,NULL,1
USA,del:169762-169767,NULL,7
USA,del:169763-169774,NULL,1
USA,del:169769-169774,NULL,7
USA,del:169774-169785,NULL,1
USA,del:169780-169785,NULL,7
USA,del:173268,NULL,1
USA,del:173277-173314,NULL,1
USA,del:173278-173314,NULL,1
USA,del:173280-173298,NULL,1
USA,del:173284-173317,NULL,1
USA,del:173285-173317,NULL,1
USA,del:173286-173295,NULL,2
USA,del:173286-173325,NULL,3
USA,del:173286-173345,NULL,3
USA,del:173286-173349,NULL,9
USA,del:173286-173351,NULL,9
USA,del:173286-173353,NULL,12
USA,del:173286-173355,NULL,19
USA,del:173286-173357,NULL,124
USA,del:173286-173358,NULL,1
USA,del:173286-173359,NULL,22
USA,del:173286-173361,NULL,170
USA,del:173286-173363,NULL,5
USA,del:173286-173367,NULL,2
USA,del:173286-173371,NULL,1
USA,del:173287-173296,NULL,2
USA,del:173287-173301,NULL,1
USA,del:173287-173346,NULL,1
USA,del:173287-173352,NULL,2
USA,del:173287-173354,NULL,2
USA,del:173287-173356,NULL,1
USA,del:173287-173358,NULL,7
USA,del:173287-173360,NULL,4
USA,del:173287-173362,NULL,3
USA,del:173287-173396,NULL,1
USA,del:173289-173364,NULL,1
USA,del:173290-173295,NULL,1
USA,del:173291-173301,NULL,1
USA,del:173291-173366,NULL,3
USA,del:173294-173324,NULL,2
USA,del:173295-173324,NULL,4
USA,del:173298-173304,NULL,1
USA,del:173301-173314,NULL,1
USA,del:173305-173314,NULL,2
USA,del:173306-173404,NULL,1
USA,del:173308-173317,NULL,1
USA,del:173308-173388,NULL,1
USA,del:173309-173314,NULL,5
USA,del:173311-173314,NULL,177
USA,del:173312-173317,NULL,2
USA,del:173313-173314,NULL,26
USA,del:173316-173317,NULL,5
USA,del:173319-173391,NULL,1
USA,del:173350-173404,NULL,1
USA,del:173398-173427,NULL,2
USA,del:174539-174544,NULL,1
USA,del:174542-174547,NULL,1
USA,del:174629-174634,NULL,1
USA,del:175228-175402,NULL,1
USA,del:175231-175405,NULL,1
USA,del:175318-175492,NULL,1
USA,del:179079-179155,NULL,2
USA,del:179079-179157,NULL,1
USA,del:179082-179176,NULL,2
USA,del:179082-179178,NULL,1
USA,del:179135-179177,NULL,1
USA,del:179138-179198,NULL,1
USA,del:179142-179222,NULL,14
USA,del:179145-179243,NULL,14
USA,del:179151-179222,NULL,40
USA,del:179154-179243,NULL,40
USA,del:179160-179222,NULL,2
USA,del:179163-179243,NULL,2
USA,del:179169-179191,NULL,2
USA,del:179169-179193,NULL,1
USA,del:179169-179222,NULL,7
USA,del:179172-179243,NULL,7
USA,del:179178-179222,NULL,33
USA,del:179181-179243,NULL,33
USA,del:179187-179222,NULL,14
USA,del:179190-179243,NULL,14
USA,del:179196-179222,NULL,6
USA,del:179199-179243,NULL,6
USA,del:179205-179222,NULL,1
USA,del:179208-179243,NULL,1
USA,del:179214-179222,NULL,7
USA,del:179217-179243,NULL,7
USA,del:179226-179243,NULL,114
USA,del:179232-179258,NULL,14
USA,del:179235-179243,NULL,7
USA,del:179241-179258,NULL,40
USA,del:179250-179258,NULL,2
USA,del:187059,NULL,1
USA,del:187080,NULL,1
USA,del:187095,NULL,1
USA,del:192478-192509,NULL,16
USA,del:192494-192509,NULL,6
USA,del:192499-192530,NULL,16
USA,del:192514-192545,NULL,16
USA,del:192515-192530,NULL,6
USA,del:192530-192545,NULL,6
USA,del:196592-196593,NULL,3
USA,del:196593,NULL,31
USA,del:196613-196617,NULL,3
USA,del:196614-196617,NULL,31
USA,del:196615-196617,NULL,251
USA,del:196616-196617,NULL,68
USA,del:196617,NULL,6
USA,del:196628-196630,NULL,3
USA,del:196629-196630,NULL,31
USA,del:196630,NULL,251
USA,del:197079-197205,NULL,1
USA,del:197103-197209,NULL,1
USA,del:197116-197233,NULL,1
USA,del:197136-197205,NULL,12
USA,del:197137-197205,NULL,5
USA,del:197141-197205,NULL,1
USA,del:197160-197209,NULL,12
USA,del:197161-197209,NULL,5
USA,del:197165-197209,NULL,1
USA,del:197169-197205,NULL,1
USA,del:197173-197233,NULL,12
USA,del:197174-197233,NULL,5
USA,del:197176-197205,NULL,1
USA,del:197178-197205,NULL,1
USA,del:197178-197233,NULL,1
USA,del:197181-197205,NULL,3
USA,del:197183-197205,NULL,1
USA,del:197186,NULL,85
USA,del:197186-197200,NULL,16
USA,del:197186-197205,NULL,191
USA,del:197190,NULL,85
USA,del:197192-197205,NULL,9
USA,del:197193-197205,NULL,9
USA,del:197193-197209,NULL,1
USA,del:197194-197205,NULL,7
USA,del:197195-197205,NULL,11
USA,del:197198-197204,NULL,78
USA,del:197200-197209,NULL,1
USA,del:197202-197209,NULL,1
USA,del:197205-197209,NULL,3
USA,del:197206-197233,NULL,1
USA,del:197207-197209,NULL,1
USA,del:197213-197233,NULL,1
USA,del:197215-197233,NULL,1
USA,del:197218-197233,NULL,3
USA,del:197220-197233,NULL,1
USA,del:197223-197233,NULL,191
USA,del:197228-197229,NULL,2
USA,del:197228-197232,NULL,5
USA,del:197228-197233,NULL,16
USA,del:197229-197230,NULL,11
USA,del:197229-197233,NULL,11
USA,del:197230-197233,NULL,7
USA,del:197232-197233,NULL,2
USA,del:2-119,NULL,1
USA,del:2-12,NULL,1
USA,del:2-15,NULL,4
USA,del:2-18,NULL,1
USA,del:2-6,NULL,3
USA,del:20,NULL,84
USA,del:234-235,NULL,3
USA,del:236-237,NULL,3
USA,del:238-239,NULL,3
USA,del:240-241,NULL,3
USA,del:242-243,NULL,3
USA,del:244-245,NULL,3
USA,del:246-247,NULL,3
USA,del:248-249,NULL,3
USA,del:250-251,NULL,3
USA,del:252-253,NULL,3
USA,del:254-255,NULL,3
USA,del:256-257,NULL,3
USA,del:258-259,NULL,3
USA,del:260-261,NULL,3
USA,del:262-263,NULL,3
USA,del:264-265,NULL,3
USA,del:266-267,NULL,3
USA,del:268-269,NULL,3
USA,del:270-271,NULL,3
USA,del:272-273,NULL,3
USA,del:274-275,NULL,3
USA,del:276-277,NULL,3
USA,del:278-279,NULL,3
USA,del:280-281,NULL,3
USA,del:282-283,NULL,3
USA,del:284-285,NULL,3
USA,del:286-287,NULL,3
USA,del:288-289,NULL,3
USA,del:290-291,NULL,3
USA,del:292,NULL,3
USA,del:3-25,NULL,1
USA,del:3-7,NULL,3
USA,del:3-9,NULL,78
USA,del:32-33,NULL,3
USA,del:34-35,NULL,24
USA,del:4-130,NULL,1
USA,del:4-5,NULL,1
USA,del:4775-4806,NULL,16
USA,del:4784-4815,NULL,16
USA,del:4791-4806,NULL,6
USA,del:4792-4823,NULL,16
USA,del:4800-4815,NULL,6
USA,del:4808-4823,NULL,6
USA,del:5-6,NULL,3
USA,del:6-20,NULL,8
USA,del:605-609,NULL,3
USA,del:606-609,NULL,32
USA,del:607-609,NULL,256
USA,del:608-609,NULL,64
USA,del:609,NULL,6
USA,del:616-618,NULL,3
USA,del:617-618,NULL,32
USA,del:618,NULL,256
USA,del:625-626,NULL,3
USA,del:626,NULL,32
USA,del:7-14,NULL,1
