,sample.id,sample.name,property.name,value_integer,value_text,value_date
221,291,ON649722.1,GEO_LOCATION,,Portugal,
222,291,ON649722.1,HOST,,Homo sapiens,
223,828,ON649723.1,COLLECTION_DATE,,2022-05-20,
224,828,ON649723.1,RELEASE_DATE,,,2022-06-01
225,828,ON649723.1,ISOLATE,,Monkeypox/PT0013/2022,
226,828,ON649723.1,LENGTH,197204.0,,
227,828,ON649723.1,SEQ_TECH,,Illumina,
228,828,ON649723.1,COUNTRY,,Portugal,
229,828,ON649723.1,GEO_LOCATION,,Portugal,
230,828,ON649723.1,HOST,,Homo sapiens,
231,180,ON649724.1,COLLECTION_DATE,,2022-05-23,
232,180,ON649724.1,RELEASE_DATE,,,2022-06-01
233,180,ON649724.1,ISOLATE,,Monkeypox/PT0014/2022,
234,180,ON649724.1,LENGTH,197204.0,,
235,180,ON649724.1,SEQ_TECH,,Illumina,
236,180,ON649724.1,COUNTRY,,Portugal,
237,180,ON649724.1,GEO_LOCATION,,Portugal,
238,180,ON649724.1,HOST,,Homo sapiens,
239,973,ON649725.1,COLLECTION_DATE,,2022-05-23,
240,973,ON649725.1,RELEASE_DATE,,,2022-06-01
241,973,ON649725.1,ISOLATE,,Monkeypox/PT0011/2022,
242,973,ON649725.1,LENGTH,197204.0,,
243,973,ON649725.1,SEQ_TECH,,Illumina,
244,973,ON649725.1,COUNTRY,,Portugal,
245,973,ON649725.1,GEO_LOCATION,,Portugal,
246,973,ON649725.1,HOST,,Homo sapiens,
247,845,ON649879.1,COLLECTION_DATE,,2022-05-20,
248,845,ON649879.1,RELEASE_DATE,,,2022-06-01
249,845,ON649879.1,ISOLATE,,MPXV_ISR001_2022,
250,845,ON649879.1,LENGTH,196753.0,,
251,845,ON649879.1,SEQ_TECH,,Illumina,
252,845,ON649879.1,COUNTRY,,Israel,
253,845,ON649879.1,GEO_LOCATION,,Israel,
254,845,ON649879.1,HOST,,Homo sapiens,
255,503,ON674051.1,COLLECTION_DATE,,2022-05-01,
256,503,ON674051.1,RELEASE_DATE,,,2022-09-01
257,503,ON674051.1,ISOLATE,,MPXV_USA_2022_FL001,
258,503,ON674051.1,LENGTH,197166.0,,
259,503,ON674051.1,SEQ_TECH,,Illumina; Oxford Nanopore,
260,503,ON674051.1,COUNTRY,,USA,
261,503,ON674051.1,GEO_LOCATION,,USA: FL,
262,503,ON674051.1,HOST,,Homo sapiens,
263,928,ON675438.1,COLLECTION_DATE,,2022-05,
264,928,ON675438.1,RELEASE_DATE,,,2022-06-03
265,928,ON675438.1,ISOLATE,,MPXV_USA_2022_VA001,
266,928,ON675438.1,LENGTH,196919.0,,
267,928,ON675438.1,COUNTRY,,USA,
268,928,ON675438.1,GEO_LOCATION,,USA: VA,
269,928,ON675438.1,HOST,,Homo sapiens,
270,428,ON676703.1,COLLECTION_DATE,,2022-05-01,
271,428,ON676703.1,RELEASE_DATE,,,2022-09-01
272,428,ON676703.1,ISOLATE,,MPXV_USA_2022_CA001,
273,428,ON676703.1,LENGTH,197096.0,,
274,428,ON676703.1,SEQ_TECH,,Oxford Nanopore,
275,428,ON676703.1,COUNTRY,,USA,
276,428,ON676703.1,GEO_LOCATION,,USA: CA,
277,428,ON676703.1,HOST,,Homo sapiens,
278,633,ON676704.1,COLLECTION_DATE,,2022-05-01,
279,633,ON676704.1,RELEASE_DATE,,,2022-09-01
280,633,ON676704.1,ISOLATE,,MPXV_USA_2022_FL002,
281,633,ON676704.1,LENGTH,197176.0,,
282,633,ON676704.1,SEQ_TECH,,Illumina; Oxford Nanopore,
283,633,ON676704.1,COUNTRY,,USA,
284,633,ON676704.1,GEO_LOCATION,,USA: FL,
285,633,ON676704.1,HOST,,Homo sapiens,
286,161,ON676705.1,COLLECTION_DATE,,2022-05-01,
287,161,ON676705.1,RELEASE_DATE,,,2022-09-01
288,161,ON676705.1,ISOLATE,,MPXV_USA_2022_UT001,
289,161,ON676705.1,LENGTH,197154.0,,
290,161,ON676705.1,SEQ_TECH,,Illumina; Oxford Nanopore,
291,161,ON676705.1,COUNTRY,,USA,
292,161,ON676705.1,GEO_LOCATION,,USA: UT,
293,161,ON676705.1,HOST,,Homo sapiens,
294,986,ON676706.1,COLLECTION_DATE,,2022-05-01,
295,986,ON676706.1,RELEASE_DATE,,,2022-09-01
296,986,ON676706.1,ISOLATE,,MPXV_USA_2022_UT002,
297,986,ON676706.1,LENGTH,196996.0,,
298,986,ON676706.1,SEQ_TECH,,,
299,986,ON676706.1,COUNTRY,,USA,
300,986,ON676706.1,GEO_LOCATION,,USA: UT,
301,986,ON676706.1,HOST,,Homo sapiens,
302,572,ON676707.1,COLLECTION_DATE,,2021-07-01,
303,572,ON676707.1,RELEASE_DATE,,,2022-09-01
304,572,ON676707.1,ISOLATE,,MPXV_USA_2021_TX,
305,572,ON676707.1,LENGTH,197265.0,,
306,572,ON676707.1,SEQ_TECH,,Illumina; Oxford Nanopore,
307,572,ON676707.1,COUNTRY,,USA,
308,572,ON676707.1,GEO_LOCATION,,USA: TX,
309,572,ON676707.1,HOST,,Homo sapiens,
310,225,ON676708.1,COLLECTION_DATE,,2021-11-01,
311,225,ON676708.1,RELEASE_DATE,,,2022-09-01
312,225,ON676708.1,ISOLATE,,MPXV_USA_2021_MD,
313,225,ON676708.1,LENGTH,197173.0,,
314,225,ON676708.1,SEQ_TECH,,Illumina; Oxford Nanopore,
315,225,ON676708.1,COUNTRY,,USA,
316,225,ON676708.1,GEO_LOCATION,,USA: MD,
317,225,ON676708.1,HOST,,Homo sapiens,
318,1097,ON682263.4,COLLECTION_DATE,,2022-05-01,
319,1097,ON682263.4,RELEASE_DATE,,,2022-06-24
320,1097,ON682263.4,ISOLATE,,MPXV/Germany/2022/RKI03,
321,1097,ON682263.4,LENGTH,197140.0,,
322,1097,ON682263.4,SEQ_TECH,,Illumina,
323,1097,ON682263.4,COUNTRY,,Germany,
324,1097,ON682263.4,GEO_LOCATION,,Germany,
325,1097,ON682263.4,HOST,,Homo sapiens,
326,25,ON682265.4,COLLECTION_DATE,,2022-05-01,
327,25,ON682265.4,RELEASE_DATE,,,2022-06-24
328,25,ON682265.4,ISOLATE,,MPXV/Germany/2022/RKI04,
329,25,ON682265.4,LENGTH,197140.0,,
330,25,ON682265.4,SEQ_TECH,,Illumina,
331,25,ON682265.4,COUNTRY,,Germany,
332,25,ON682265.4,GEO_LOCATION,,Germany,
333,25,ON682265.4,HOST,,Homo sapiens,
334,936,ON682266.2,COLLECTION_DATE,,2022-05-01,
335,936,ON682266.2,RELEASE_DATE,,,2022-06-14
336,936,ON682266.2,ISOLATE,,MPXV/Germany/2022/RKI09,
337,936,ON682266.2,LENGTH,197140.0,,
338,936,ON682266.2,SEQ_TECH,,Illumina,
339,936,ON682266.2,COUNTRY,,Germany,
340,936,ON682266.2,GEO_LOCATION,,Germany,
341,936,ON682266.2,HOST,,Homo sapiens,
342,1,ON682267.2,COLLECTION_DATE,,2022-05-01,
343,1,ON682267.2,RELEASE_DATE,,,2022-06-14
344,1,ON682267.2,ISOLATE,,MPXV/Germany/2022/RKI010,
345,1,ON682267.2,LENGTH,197140.0,,
346,1,ON682267.2,SEQ_TECH,,Illumina,
347,1,ON682267.2,COUNTRY,,Germany,
348,1,ON682267.2,GEO_LOCATION,,Germany,
349,1,ON682267.2,HOST,,Homo sapiens,
350,634,ON682268.3,COLLECTION_DATE,,2022-05-01,
351,634,ON682268.3,RELEASE_DATE,,,2022-06-24
352,634,ON682268.3,ISOLATE,,MPXV/Germany/2022/RKI08,
353,634,ON682268.3,LENGTH,197140.0,,
354,634,ON682268.3,SEQ_TECH,,Illumina,
355,634,ON682268.3,COUNTRY,,Germany,
356,634,ON682268.3,GEO_LOCATION,,Germany,
357,634,ON682268.3,HOST,,Homo sapiens,
358,1160,ON682269.3,COLLECTION_DATE,,2022-05-01,
359,1160,ON682269.3,RELEASE_DATE,,,2022-06-14
360,1160,ON682269.3,ISOLATE,,MPXV/Germany/2022/RKI07,
361,1160,ON682269.3,LENGTH,197140.0,,
362,1160,ON682269.3,SEQ_TECH,,Illumina,
363,1160,ON682269.3,COUNTRY,,Germany,
364,1160,ON682269.3,GEO_LOCATION,,Germany,
365,1160,ON682269.3,HOST,,Homo sapiens,
366,621,ON682270.2,COLLECTION_DATE,,2022-05-01,
367,621,ON682270.2,RELEASE_DATE,,,2022-06-14
368,621,ON682270.2,ISOLATE,,MPXV/Germany/2022/RKI06,
369,621,ON682270.2,LENGTH,197140.0,,
370,621,ON682270.2,SEQ_TECH,,Illumina,
371,621,ON682270.2,COUNTRY,,Germany,
372,621,ON682270.2,GEO_LOCATION,,Germany,
373,621,ON682270.2,HOST,,Homo sapiens,
374,614,ON694329.1,COLLECTION_DATE,,2022-05-01,
375,614,ON694329.1,RELEASE_DATE,,,2022-06-07
376,614,ON694329.1,ISOLATE,,MPXV/Germany/2022/RKI025,
377,614,ON694329.1,LENGTH,197271.0,,
378,614,ON694329.1,SEQ_TECH,,Illumina,
379,614,ON694329.1,COUNTRY,,Germany,
380,614,ON694329.1,GEO_LOCATION,,Germany,
381,614,ON694329.1,HOST,,Homo sapiens,
382,904,ON694330.1,COLLECTION_DATE,,2022-05-01,
383,904,ON694330.1,RELEASE_DATE,,,2022-06-07
384,904,ON694330.1,ISOLATE,,MPXV/Germany/2022/RKI019,
385,904,ON694330.1,LENGTH,197198.0,,
386,904,ON694330.1,SEQ_TECH,,Illumina,
387,904,ON694330.1,COUNTRY,,Germany,
388,904,ON694330.1,GEO_LOCATION,,Germany,
389,904,ON694330.1,HOST,,Homo sapiens,
390,984,ON694331.1,COLLECTION_DATE,,2022-05-01,
391,984,ON694331.1,RELEASE_DATE,,,2022-06-07
392,984,ON694331.1,ISOLATE,,MPXV/Germany/2022/RKI015,
393,984,ON694331.1,LENGTH,197436.0,,
394,984,ON694331.1,SEQ_TECH,,Illumina,
395,984,ON694331.1,COUNTRY,,Germany,
396,984,ON694331.1,GEO_LOCATION,,Germany,
397,984,ON694331.1,HOST,,Homo sapiens,
398,44,ON694332.1,COLLECTION_DATE,,2022-05-01,
399,44,ON694332.1,RELEASE_DATE,,,2022-06-07
400,44,ON694332.1,ISOLATE,,MPXV/Germany/2022/RKI023,
401,44,ON694332.1,LENGTH,197090.0,,
402,44,ON694332.1,SEQ_TECH,,Illumina,
403,44,ON694332.1,COUNTRY,,Germany,
404,44,ON694332.1,GEO_LOCATION,,Germany,
405,44,ON694332.1,HOST,,Homo sapiens,
406,950,ON694333.1,COLLECTION_DATE,,2022-05-01,
407,950,ON694333.1,RELEASE_DATE,,,2022-06-07
408,950,ON694333.1,ISOLATE,,MPXV/Germany/2022/RKI022,
409,950,ON694333.1,LENGTH,197210.0,,
410,950,ON694333.1,SEQ_TECH,,Illumina,
411,950,ON694333.1,COUNTRY,,Germany,
412,950,ON694333.1,GEO_LOCATION,,Germany,
413,950,ON694333.1,HOST,,Homo sapiens,
414,405,ON694334.1,COLLECTION_DATE,,2022-05-01,
415,405,ON694334.1,RELEASE_DATE,,,2022-06-07
416,405,ON694334.1,ISOLATE,,MPXV/Germany/2022/RKI021,
417,405,ON694334.1,LENGTH,197236.0,,
418,405,ON694334.1,SEQ_TECH,,Illumina,
419,405,ON694334.1,COUNTRY,,Germany,
420,405,ON694334.1,GEO_LOCATION,,Germany,
421,405,ON694334.1,HOST,,Homo sapiens,
422,947,ON694336.1,COLLECTION_DATE,,2022-05-01,
423,947,ON694336.1,RELEASE_DATE,,,2022-06-07
424,947,ON694336.1,ISOLATE,,MPXV/Germany/2022/RKI024,
425,947,ON694336.1,LENGTH,197303.0,,
426,947,ON694336.1,SEQ_TECH,,Illumina,
427,947,ON694336.1,COUNTRY,,Germany,
428,947,ON694336.1,GEO_LOCATION,,Germany,
429,947,ON694336.1,HOST,,Homo sapiens,
430,1077,ON694337.1,COLLECTION_DATE,,2022-05-01,
431,1077,ON694337.1,RELEASE_DATE,,,2022-06-07
432,1077,ON694337.1,ISOLATE,,MPXV/Germany/2022/RKI020,
433,1077,ON694337.1,LENGTH,197340.0,,
434,1077,ON694337.1,SEQ_TECH,,Illumina,
435,1077,ON694337.1,COUNTRY,,Germany,
436,1077,ON694337.1,GEO_LOCATION,,Germany,
437,1077,ON694337.1,HOST,,Homo sapiens,
438,543,ON694338.1,COLLECTION_DATE,,2022-05-01,
439,543,ON694338.1,RELEASE_DATE,,,2022-06-07
440,543,ON694338.1,ISOLATE,,MPXV/Germany/2022/RKI017,
441,543,ON694338.1,LENGTH,197434.0,,
442,543,ON694338.1,SEQ_TECH,,Illumina,
443,543,ON694338.1,COUNTRY,,Germany,
444,543,ON694338.1,GEO_LOCATION,,Germany,
445,543,ON694338.1,HOST,,Homo sapiens,
446,956,ON694339.1,COLLECTION_DATE,,2022-05-01,
447,956,ON694339.1,RELEASE_DATE,,,2022-06-07
448,956,ON694339.1,ISOLATE,,MPXV/Germany/2022/RKI016,
449,956,ON694339.1,LENGTH,197415.0,,
450,956,ON694339.1,SEQ_TECH,,Illumina,
451,956,ON694339.1,COUNTRY,,Germany,
452,956,ON694339.1,GEO_LOCATION,,Germany,
453,956,ON694339.1,HOST,,Homo sapiens,
454,413,ON694340.1,COLLECTION_DATE,,2022-05-01,
455,413,ON694340.1,RELEASE_DATE,,,2022-06-07
456,413,ON694340.1,ISOLATE,,MPXV/Germany/2022/RKI014,
457,413,ON694340.1,LENGTH,197347.0,,
458,413,ON694340.1,SEQ_TECH,,Illumina,
459,413,ON694340.1,COUNTRY,,Germany,
460,413,ON694340.1,GEO_LOCATION,,Germany,
461,413,ON694340.1,HOST,,Homo sapiens,
462,887,ON694341.2,COLLECTION_DATE,,2022-05-01,
463,887,ON694341.2,RELEASE_DATE,,,2022-06-24
464,887,ON694341.2,ISOLATE,,MPXV/Germany/2022/RKI012,
465,887,ON694341.2,LENGTH,197140.0,,
466,887,ON694341.2,SEQ_TECH,,Illumina,
467,887,ON694341.2,COUNTRY,,Germany,
468,887,ON694341.2,GEO_LOCATION,,Germany,
469,887,ON694341.2,HOST,,Homo sapiens,
470,1110,ON694342.1,COLLECTION_DATE,,2022-05-01,
471,1110,ON694342.1,RELEASE_DATE,,,2022-06-07
472,1110,ON694342.1,ISOLATE,,MPXV/Germany/2022/RKI011,
473,1110,ON694342.1,LENGTH,197180.0,,
474,1110,ON694342.1,SEQ_TECH,,Illumina,
475,1110,ON694342.1,COUNTRY,,Germany,
476,1110,ON694342.1,GEO_LOCATION,,Germany,
477,1110,ON694342.1,HOST,,Homo sapiens,
478,902,ON720849.1,COLLECTION_DATE,,2022-05-27,
479,902,ON720849.1,RELEASE_DATE,,,2022-06-09
480,902,ON720849.1,ISOLATE,,MpxV/Spain/MD-HGUGM-6532064/2022,
481,902,ON720849.1,LENGTH,197096.0,,
482,902,ON720849.1,SEQ_TECH,,Nanopore,
483,902,ON720849.1,COUNTRY,,Spain,
484,902,ON720849.1,GEO_LOCATION,,Spain,
485,902,ON720849.1,HOST,,Homo sapiens,
